ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2010,PE,2606903,total,mulher,total,0.627,0.781,0.539,0.586,0.36,0.66,baixo,1.11,20.5,4.63,307.4,22.49,32.0,64.65,58.49,1.73,11.1,22.88,0.83,22.9,36.0,30.5,71.85,4078,650
2010,PE,2611804,total,mulher,total,0.636,0.773,0.558,0.595,0.424,0.641,baixo,5.11,7.88,6.96,324.28,5.17,51.97,61.76,50.59,1.64,7.01,23.66,4.87,24.25,42.36,27.76,71.39,15271,1609
2010,PI,2202133,total,mulher,total,0.58,0.752,0.481,0.538,0.277,0.635,muito baixo,4.73,24.46,1.35,227.83,31.25,36.68,67.94,51.74,1.83,7.02,27.27,1.51,34.71,27.66,24.12,70.1,1839,193
2010,PI,2202729,total,mulher,total,0.512,0.734,0.361,0.507,0.219,0.464,muito baixo,2.34,6.05,69.83,187.34,39.6,30.67,76.44,56.15,1.76,6.79,30.91,4.03,36.21,21.88,6.91,69.01,1806,188
2010,PI,2202778,total,mulher,total,0.609,0.763,0.525,0.564,0.321,0.671,médio,1.59,4.19,10.11,267.86,46.33,38.79,64.06,54.89,1.86,8.34,24.17,0.46,32.34,32.14,22.04,70.76,2495,311
2010,PI,2205151,total,mulher,total,0.551,0.745,0.442,0.508,0.279,0.555,muito baixo,3.56,27.91,12.34,189.34,55.1,36.62,74.32,47.35,1.81,6.17,28.64,1.24,35.08,27.93,12.96,69.7,1903,173
2010,PI,2205854,total,mulher,total,0.588,0.769,0.554,0.478,0.351,0.696,muito baixo,3.1,7.57,46.39,156.8,44.65,37.16,84.76,61.89,2.16,6.35,24.05,1.99,29.62,35.09,33.6,71.13,2293,240
2010,PI,2206803,total,mulher,total,0.565,0.738,0.482,0.507,0.314,0.597,muito baixo,7.05,2.07,46.63,187.9,12.23,43.04,75.78,64.54,2.14,7.77,28.5,4.23,36.11,31.4,24.61,69.29,2560,321
2010,PI,2208007,total,mulher,total,0.718,0.805,0.674,0.68,0.528,0.762,muito alto,3.53,3.06,4.57,551.89,11.2,65.82,42.06,43.3,1.41,7.34,17.63,1.85,16.18,52.75,50.91,73.33,27704,2824
2010,PI,2208403,total,mulher,total,0.649,0.788,0.564,0.616,0.399,0.67,médio,5.56,8.16,13.47,369.94,19.58,53.54,55.81,51.58,1.51,9.6,20.21,1.81,24.84,39.9,28.84,72.28,22121,3034
